clinicRef,clinicName,clinicAddr,city,groupRef,groupName,hos1Ref,hos1Name,hos2Ref,hos2Name,hos3Ref,hos3Name,hos4Ref,hos4Name
3501173032,陽光耳鼻喉科診所,台北市信義區松山路484之8號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501011260,江崇萍小兒科診所,台北市松山區南京東路5段251巷24弄27號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501013059,親親家庭診所,台北市松山區南京東路5段347號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501103272,大直診所,台北市中山區北安路595巷2弄2號(1樓及地下層)及6號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501103978,吳振力診所,台北市中山區長春路309號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501011322,安成診所,台北市松山區富錦街497號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501011493,車參薇小兒科診所,台北市松山區八德路3段195號1樓,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501021480,林青穀家庭醫學科診所,台北市大安區大安路1段2-1號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501106166,興安診所,台北市中山區民生東路3段90號2樓、90號2樓之3,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501104322,民生承安診所,台北市中山區民生東路3段90號1、2樓,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501013059,親親家庭診所,台北市松山區南京東路5段347號,臺北市,1010100114,台北好安心,1101010021,基督復臨安息日會醫療財團法人臺安醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
3501013157,大家好診所,台北市松山區民生東路4段80巷11弄2號1樓,臺北市,1010100313,松山,0101090517,臺北市立聯合醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
2101110027,臺北市立聯合醫院附設內湖門診部,台北市內湖區民權東路6段99號1樓,臺北市,1010100313,松山,0101090517,臺北市立聯合醫院,1101020018,國泰醫療財團法人國泰綜合醫院,,,,
